cases,gamma
49.00,0.91
64.00,0.55
71.00,0.43
37.00,0.99
58.00,0.81
104.00,0.38
85.00,0.52
95.00,0.25
101.00,0.26
45.00,0.91
39.00,0.79
56.00,0.96
80.00,0.34
70.00,0.49
71.00,0.68
87.00,0.34
93.00,0.47
71.00,0.46
88.00,0.47
44.00,0.95
56.00,0.49
41.00,0.91
72.00,0.58
76.00,0.36
47.00,0.61
89.00,0.76
79.00,0.40
87.00,0.58
109.00,0.20
46.00,0.97
73.00,0.54
61.00,0.60
87.00,0.22
43.00,0.90
66.00,0.75
64.00,0.49
56.00,0.83
67.00,0.17
29.00,0.99
55.00,0.67
108.00,0.71
53.00,0.96
71.00,0.51
29.00,0.94
68.00,0.43
101.00,0.57
78.00,0.48
78.00,0.60
52.00,0.98
113.00,0.54
64.00,0.58
44.00,0.90
84.00,0.53
75.00,0.57
37.00,0.78
49.00,0.69
35.00,0.92
57.00,0.20
45.00,0.83
83.00,0.52
66.00,0.79
84.00,0.57
90.00,0.49
49.00,0.84
68.00,0.37
58.00,0.57
41.00,1.00
92.00,0.40
73.00,0.36
58.00,0.65
82.00,0.54
66.00,0.70
45.00,0.96
73.00,0.67
61.00,0.82
46.00,0.64
47.00,0.77
59.00,0.73
83.00,0.44
59.00,0.41
39.00,0.97
42.00,0.85
37.00,0.78
80.00,0.50
73.00,0.30
78.00,0.33
88.00,0.50
70.00,0.41
64.00,0.93
96.00,0.30
59.00,0.77
70.00,0.37
87.00,0.58
88.00,0.60
84.00,0.17
75.00,0.69
65.00,0.20
36.00,0.91
54.00,0.77
51.00,0.91
78.00,0.66
51.00,0.76
46.00,0.74
46.00,0.63
64.00,0.69
54.00,0.79
60.00,0.87
47.00,0.82
72.00,0.47
51.00,0.67
65.00,0.31
80.00,0.36
78.00,0.27
75.00,0.42
64.00,0.82
63.00,0.52
63.00,0.38
95.00,0.19
97.00,0.34
45.00,0.64
54.00,0.68
38.00,0.95
73.00,0.41
47.00,0.45
54.00,0.87
43.00,0.98
71.00,0.64
74.00,0.63
47.00,0.84
89.00,0.57
